customer_id,stream_id,date,invoice_item_id,subscription_stopped
506,1420.0,2019-05-27,1.0,0
506,1185.0,2019-05-28,1.0,0
506,1424.0,2019-05-31,1.0,0
506,1407.0,2019-06-02,1.0,0
506,1384.0,2019-06-03,1.0,0
506,1091.0,2019-06-24,1.0,0
506,1266.0,2019-06-24,1.0,0
506,1628.0,2019-06-29,1.0,0
506,1333.0,2019-07-03,1.0,0
506,1474.0,2019-07-20,1.0,0
506,1642.0,2019-07-24,1.0,0
506,1604.0,2019-08-02,1.0,0
506,1090.0,2019-08-18,1.0,0
506,1731.0,2019-08-19,1.0,0
507,1275.0,2019-07-11,1.0,0
507,1393.0,2019-07-14,1.0,0
507,1546.0,2019-07-20,1.0,0
507,1169.0,2019-07-22,1.0,0
507,1155.0,2019-07-25,1.0,0
507,1718.0,2019-07-26,1.0,0
507,1262.0,2019-07-27,1.0,0
507,1590.0,2019-07-27,1.0,0
507,1555.0,2019-07-28,1.0,0
507,1606.0,2019-07-30,1.0,0
507,1182.0,2019-08-03,1.0,0
507,1724.0,2019-08-08,1.0,0
507,1508.0,2019-08-10,1.0,0
507,1375.0,2019-08-18,1.0,0
507,1648.0,2019-08-26,1.0,1
508,1160.0,2019-04-17,1.0,0
508,1149.0,2019-04-20,1.0,0
508,1472.0,2019-04-27,1.0,0
508,1362.0,2019-04-29,1.0,0
508,1143.0,2019-04-30,1.0,0
508,,2019-05-08,1.0,0
508,1447.0,2019-05-08,1.0,0
508,1700.0,2019-05-12,1.0,0
508,1351.0,2019-05-28,1.0,0
508,1107.0,2019-05-31,1.0,0
508,1086.0,2019-06-02,1.0,0
508,1710.0,2019-06-03,1.0,0
508,1671.0,2019-06-05,1.0,0
508,1448.0,2019-06-08,1.0,0
508,1308.0,2019-06-16,1.0,0
508,1341.0,2019-06-25,1.0,0
508,1580.0,2019-06-25,1.0,0
508,1295.0,2019-06-26,1.0,0
509,1756.0,2019-01-08,3.0,0
509,1500.0,2019-01-17,3.0,0
509,1135.0,2019-01-19,3.0,0
509,1743.0,2019-01-19,3.0,0
509,1465.0,2019-02-06,3.0,0
509,1333.0,2019-02-09,3.0,0
509,1471.0,2019-02-10,3.0,0
509,1197.0,2019-02-12,3.0,0
509,1184.0,2019-02-13,3.0,0
509,1098.0,2019-02-19,3.0,0
509,1541.0,2019-02-23,3.0,0
509,,2019-02-28,3.0,0
509,1544.0,2019-03-07,3.0,0
509,1141.0,2019-03-09,3.0,0
509,1627.0,2019-03-12,3.0,0
509,1753.0,2019-03-13,3.0,0
509,1102.0,2019-03-25,3.0,0
509,,2019-03-28,3.0,0
509,1114.0,2019-03-31,3.0,0
509,1131.0,2019-04-02,3.0,0
509,1425.0,2019-04-07,3.0,0
509,1256.0,2019-04-11,3.0,0
509,1758.0,2019-04-13,3.0,0
509,1098.0,2019-04-26,3.0,0
509,1400.0,2019-04-30,3.0,1
510,1356.0,2019-06-29,1.0,0
510,1218.0,2019-07-01,1.0,0
510,1291.0,2019-07-03,1.0,0
510,1514.0,2019-07-03,1.0,0
510,1229.0,2019-07-04,1.0,0
510,1668.0,2019-07-06,1.0,0
510,1051.0,2019-07-07,1.0,0
510,1766.0,2019-07-10,1.0,0
510,1730.0,2019-07-17,1.0,0
510,1370.0,2019-07-17,1.0,0
510,1369.0,2019-08-06,1.0,0
510,1671.0,2019-08-13,1.0,0
510,1537.0,2019-08-24,1.0,0
510,,2019-08-27,1.0,0
510,1476.0,2019-08-30,1.0,0
510,1257.0,2019-09-03,1.0,0
510,1172.0,2019-09-03,1.0,0
511,1437.0,2019-05-20,2.0,0
511,1345.0,2019-05-22,2.0,0
511,1383.0,2019-05-29,2.0,0
511,1573.0,2019-05-29,2.0,0
511,1085.0,2019-05-31,2.0,0
511,1622.0,2019-06-05,2.0,0
511,1199.0,2019-06-06,2.0,0
511,1377.0,2019-06-08,2.0,0
511,1641.0,2019-06-18,2.0,0
511,,2019-06-21,2.0,0
511,1465.0,2019-06-28,2.0,0
511,1649.0,2019-06-30,2.0,0
511,1776.0,2019-07-02,2.0,0
511,1627.0,2019-07-04,2.0,0
511,1379.0,2019-07-05,2.0,0
511,1401.0,2019-07-06,2.0,0
511,1554.0,2019-07-17,2.0,0
511,1293.0,2019-07-26,2.0,0
511,1185.0,2019-08-04,2.0,0
512,1297.0,2018-11-28,2.0,0
512,1728.0,2018-12-09,2.0,0
512,1739.0,2018-12-11,2.0,0
512,1743.0,2018-12-13,2.0,0
512,1714.0,2018-12-20,2.0,0
512,,2018-12-24,2.0,0
